"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"06/13/2023","Qualified Dividend","ANPDY","ANTA SPORTS PRODUCT FSPONSORED ADR 1 ADR REPS 25 ORD SHS","","","","$80.43"
"06/13/2023","Qualified Dividend","IBA","INDUSTRIAS BACHOCO S A FSPONSORED ADR 1 ADR REPS 12 ORD SHS","","","","$72.44"
"06/13/2023","Cash Dividend","IEMG","ISHARES CORE MSCI EMERGING ETF","","","","$355.12"
"06/08/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$46.75"
"06/02/2023","Cash Dividend","EBR","ELETROBRAS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$36.17"
"06/01/2023 as of 05/26/2023","Special Qual Div","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$9.67"
"05/31/2023","Cash Dividend","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$471.77"
"05/26/2023","Qualified Dividend","PBR","PETROLEO BRASILEIRO FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$195.66"
"05/19/2023 as of 10/28/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$81.70"
"05/19/2023 as of 12/27/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$122.12"
"05/19/2023 as of 05/25/2022","Foreign Tax Reclaim Adj","SQM","SOCIEDAD QUIMICA Y MIN FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$3.79"
"05/04/2023","Qualified Dividend","JD","JD COM INC FSPONSORED ADR 1 ADR REPS 2 ORD SHS","","","","$89.28"
"05/04/2023","Qualified Dividend","KT","KT CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS","","","","$327.43"
"04/28/2023","Cash Dividend","TGLS","TECNOGLASS INC F","","","","$7.11"
"04/24/2023","Qualified Dividend","PKX","POSCO HOLDINGS INC ADR FSPONSORED ADR 1 ADR REP 0.25 ORD SHS","","","","$37.71"
"04/13/2023","Qualified Dividend","TSM","TAIWAN SEMICONDUCTR FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$69.01"
"04/10/2023","Qualified Dividend","AU","ANGOLD ASHANTI FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$40.80"
"04/10/2023","Unissued Rights Redemption","TCEHY","TENCENT HOLDINGS FUNSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$176.03"
"03/28/2023","Qualified Dividend","YUMC","YUM CHINA HOLDINGS INC","","","","$12.87"
"03/24/2023","Qualified Dividend","NTES","NETEASE INC FSPONSORED ADR 1 ADR REPS 5 ORD SHS","","","","$25.65"
